Time,anger,happy,hate,neutral,sad
00:00,43,673,122,1948,871
00:20,47,692,159,1917,926
00:40,43,655,153,1934,965
01:00,66,721,127,1908,1007
01:20,68,726,147,1964,990
01:40,61,666,140,1886,904
02:00,61,771,122,2027,1000
02:20,56,790,156,2052,972
02:40,39,717,128,1904,937
03:00,43,706,126,1757,934
03:20,49,672,117,1762,845
03:40,47,631,146,1698,903
04:00,49,661,123,1685,821
04:20,50,625,140,1628,768
04:40,38,596,132,1625,789
05:00,41,562,122,1538,770
05:20,53,588,99,1426,737
05:40,40,573,103,1481,777
06:00,35,549,102,1424,715
06:20,38,498,102,1360,689
06:40,54,446,99,1334,675
07:00,30,451,99,1280,631
07:20,33,470,93,1253,643
07:40,39,396,104,1195,650
08:00,38,454,80,1168,572
08:20,34,445,75,1131,579
08:40,39,386,97,1103,618
09:00,28,385,84,1014,574
09:20,34,386,75,1084,517
09:40,32,378,93,1082,540
10:00,32,389,95,1060,515
10:20,37,397,104,996,490
10:40,40,368,79,980,497
11:00,40,356,109,976,507
11:20,24,323,77,978,473
11:40,18,299,66,912,411
12:00,25,355,81,872,416
12:20,19,284,61,839,410
12:40,25,263,62,826,400
13:00,18,300,74,781,392
13:20,17,304,55,798,377
13:40,35,280,85,808,380
14:00,17,271,74,848,354
14:20,20,266,75,849,428
14:40,33,300,78,850,379
15:00,30,323,74,859,404
15:20,17,316,70,836,420
15:40,30,323,82,869,433
16:00,28,302,66,838,429
16:20,22,301,70,784,420
16:40,20,304,57,815,401
17:00,26,265,71,779,421
17:20,17,270,64,871,450
17:40,20,322,59,869,405
18:00,27,314,58,867,390
18:20,15,336,78,879,421
18:40,20,307,76,915,412
19:00,34,378,64,1006,481
19:20,23,338,77,1027,497
19:40,32,369,85,1079,548
20:00,26,364,75,1202,558
20:20,29,439,70,1147,585
20:40,48,506,89,1354,629
21:00,49,451,105,1320,661
21:20,51,454,113,1385,672
21:40,48,474,107,1493,710
22:00,63,503,118,1485,713
22:20,48,546,87,1690,765
22:40,44,578,139,1691,844
23:00,31,578,122,1663,789
23:20,51,639,137,1844,908
23:40,61,698,113,1851,858
