Time,anger,happy,hate,neutral,sad
00:00,45,392,104,1105,606
00:20,36,380,73,1147,553
00:40,45,355,84,1048,548
01:00,31,364,81,1043,595
01:20,32,375,79,1039,659
01:40,41,339,73,1022,564
02:00,36,349,89,1077,543
02:20,37,372,80,1056,597
02:40,40,367,90,1000,559
03:00,31,339,100,1031,618
03:20,41,323,104,1022,590
03:40,41,342,102,1078,598
04:00,32,329,84,1032,557
04:20,36,335,74,1016,537
04:40,44,329,71,1023,558
05:00,32,340,93,963,542
05:20,34,361,84,912,498
05:40,29,356,77,933,529
06:00,22,322,81,817,511
06:20,45,272,64,781,438
06:40,32,270,64,830,456
07:00,25,244,64,802,437
07:20,18,260,50,816,437
07:40,24,263,68,692,397
08:00,27,235,52,673,397
08:20,25,226,63,662,369
08:40,24,207,49,695,354
09:00,31,263,47,697,326
09:20,24,222,46,636,313
09:40,17,227,46,586,343
10:00,27,209,46,564,348
10:20,16,220,40,620,324
10:40,26,205,52,595,317
11:00,23,220,31,552,329
11:20,26,208,35,574,276
11:40,19,204,57,565,274
12:00,15,177,42,561,276
12:20,13,187,37,482,284
12:40,16,182,52,518,273
13:00,15,180,46,524,269
13:20,17,176,43,529,264
13:40,14,161,39,465,269
14:00,19,170,40,468,264
14:20,14,199,37,488,245
14:40,17,190,36,526,257
15:00,16,175,50,501,243
15:20,15,161,41,463,277
15:40,16,188,47,463,251
16:00,21,157,41,491,285
16:20,16,176,38,464,268
16:40,9,164,29,485,263
17:00,22,150,48,520,304
17:20,15,151,46,473,269
17:40,16,168,41,535,273
18:00,16,198,62,552,305
18:20,19,180,37,564,333
18:40,22,192,51,604,299
19:00,10,202,52,631,335
19:20,27,190,63,656,375
19:40,19,198,45,673,351
20:00,25,236,60,663,370
20:20,18,221,66,762,407
20:40,17,275,51,775,428
21:00,21,241,61,775,406
21:20,38,275,49,876,462
21:40,34,318,67,929,485
22:00,36,320,82,967,530
22:20,41,327,98,1108,584
22:40,41,350,98,1084,590
23:00,33,386,89,1072,556
23:20,44,389,112,1079,600
23:40,44,387,98,1145,620
