Time,anger,happy,hate,neutral,sad
00:00,18,573,216,1186,1051
00:20,16,563,233,1161,1103
00:40,28,591,221,1222,1195
01:00,20,573,221,1196,1137
01:20,27,557,245,1205,1074
01:40,26,616,202,1239,1222
02:00,16,564,242,1256,1174
02:20,13,624,236,1157,1135
02:40,23,622,231,1199,1180
03:00,35,664,259,1343,1274
03:20,22,663,250,1433,1289
03:40,33,629,218,1426,1259
04:00,21,631,213,1353,1178
04:20,25,654,259,1312,1217
04:40,30,653,255,1297,1217
05:00,26,638,263,1289,1271
05:20,20,655,276,1350,1211
05:40,20,674,238,1499,1292
06:00,18,613,262,1315,1185
06:20,27,592,219,1251,1159
06:40,27,609,219,1236,1184
07:00,25,591,225,1241,1157
07:20,20,580,204,1254,1133
07:40,24,542,227,1155,1110
08:00,21,553,214,1101,1037
08:20,15,516,239,1108,1023
08:40,15,531,253,1051,1044
09:00,19,613,239,1204,1100
09:20,20,547,238,1070,1021
09:40,12,571,214,1123,1016
10:00,18,502,190,974,963
10:20,14,478,183,945,921
10:40,11,464,180,900,848
11:00,13,432,191,882,804
11:20,11,399,175,816,778
11:40,14,394,145,806,801
12:00,8,398,143,840,720
12:20,16,388,137,804,706
12:40,14,386,170,785,714
13:00,13,390,172,808,758
13:20,13,374,142,794,710
13:40,9,340,143,733,643
14:00,12,352,149,724,651
14:20,11,359,125,737,629
14:40,11,363,145,698,608
15:00,11,317,154,742,587
15:20,13,320,153,689,594
15:40,11,312,147,600,609
16:00,6,295,137,702,605
16:20,11,336,143,689,612
16:40,12,314,133,635,575
17:00,14,320,132,668,633
17:20,14,283,136,643,561
17:40,12,278,148,707,576
18:00,12,292,153,643,601
18:20,21,308,159,668,641
18:40,15,300,134,658,615
19:00,15,254,134,638,629
19:20,11,293,160,642,598
19:40,12,342,139,667,661
20:00,18,310,144,751,664
20:20,10,329,182,773,728
20:40,13,363,161,769,702
21:00,11,379,172,782,745
21:20,12,387,189,868,754
21:40,21,437,187,850,808
22:00,14,443,177,988,851
22:20,14,458,172,901,909
22:40,22,471,190,976,909
23:00,19,501,180,1014,957
23:20,19,528,232,1049,981
23:40,20,532,254,1092,1038
