,sad,neutral,anger,happy,hate
00:01,"[4852, 444]","[8606, 757]","[215, 35]","[2676, 270]","[1037, 86]"
00:11,"[4154, 494]","[5633, 827]","[38, 19]","[5542, 285]","[1455, 74]"
00:21,"[3264, 414]","[5900, 752]","[460, 35]","[3396, 268]","[976, 71]"
00:31,"[5132, 461]","[9443, 810]","[255, 30]","[3737, 296]","[1756, 58]"
00:41,"[4859, 485]","[7427, 828]","[135, 39]","[2984, 294]","[446, 66]"
00:51,"[4996, 412]","[7785, 852]","[190, 22]","[2231, 251]","[1536, 94]"
01:01,"[4781, 453]","[12468, 774]","[273, 26]","[4292, 274]","[690, 74]"
01:11,"[7097, 454]","[10712, 813]","[87, 16]","[3175, 240]","[1081, 77]"
01:21,"[4464, 449]","[8944, 805]","[210, 29]","[6839, 299]","[978, 76]"
01:31,"[3870, 438]","[8492, 779]","[680, 27]","[3132, 278]","[1025, 74]"
01:41,"[4686, 412]","[7090, 798]","[836, 39]","[4837, 274]","[1743, 69]"
01:51,"[3241, 450]","[7850, 872]","[563, 28]","[2725, 260]","[1407, 78]"
02:01,"[22736, 517]","[14262, 849]","[214, 23]","[16148, 315]","[4582, 82]"
02:11,"[17187, 559]","[15769, 967]","[382, 41]","[8477, 371]","[1089, 81]"
02:21,"[8321, 533]","[14461, 1023]","[67, 26]","[8390, 356]","[1027, 72]"
02:31,"[7663, 556]","[8043, 907]","[138, 31]","[3255, 291]","[950, 86]"
02:41,"[5846, 503]","[7190, 932]","[168, 27]","[4067, 334]","[733, 92]"
02:51,"[7758, 586]","[9303, 1015]","[144, 25]","[4525, 380]","[2262, 82]"
03:01,"[7793, 547]","[10413, 947]","[371, 28]","[3470, 318]","[504, 83]"
03:11,"[7155, 511]","[9059, 887]","[259, 30]","[2999, 273]","[514, 66]"
03:21,"[5233, 477]","[7647, 901]","[197, 34]","[2652, 270]","[489, 69]"
03:31,"[4455, 494]","[5522, 813]","[121, 23]","[1413, 296]","[372, 77]"
03:41,"[3879, 482]","[6875, 839]","[186, 21]","[1840, 268]","[1158, 80]"
03:51,"[3393, 516]","[7596, 865]","[263, 30]","[2520, 295]","[1002, 68]"
04:01,"[3708, 469]","[6043, 828]","[141, 36]","[2816, 281]","[539, 73]"
04:11,"[3529, 461]","[5169, 814]","[627, 26]","[2212, 303]","[557, 72]"
04:21,"[4713, 453]","[7651, 827]","[117, 45]","[2130, 258]","[802, 69]"
04:31,"[5780, 465]","[5019, 810]","[418, 36]","[2192, 294]","[735, 78]"
04:41,"[5679, 462]","[6809, 861]","[192, 26]","[2838, 300]","[396, 70]"
04:51,"[3400, 462]","[8626, 844]","[104, 29]","[2137, 275]","[378, 73]"
05:01,"[3837, 486]","[6819, 791]","[328, 28]","[2509, 279]","[471, 64]"
05:11,"[4258, 432]","[4176, 753]","[38, 38]","[2660, 274]","[453, 83]"
05:21,"[3741, 401]","[4185, 723]","[154, 32]","[1998, 252]","[636, 83]"
05:31,"[2618, 430]","[4558, 739]","[225, 28]","[1674, 254]","[536, 78]"
05:41,"[3474, 431]","[5763, 821]","[282, 39]","[1872, 272]","[304, 64]"
05:51,"[3018, 441]","[6381, 748]","[189, 29]","[2802, 276]","[247, 75]"
06:01,"[2630, 438]","[5518, 811]","[215, 27]","[2430, 245]","[848, 79]"
06:11,"[8589, 422]","[3990, 747]","[142, 33]","[3944, 246]","[705, 84]"
06:21,"[6576, 437]","[8339, 774]","[82, 26]","[2415, 242]","[699, 72]"
06:31,"[6195, 418]","[5429, 728]","[879, 36]","[6712, 262]","[1468, 84]"
06:41,"[3317, 376]","[7530, 739]","[109, 30]","[1549, 244]","[484, 79]"
06:51,"[1673, 421]","[4801, 719]","[118, 33]","[2983, 242]","[533, 62]"
07:01,"[3789, 402]","[4388, 718]","[63, 25]","[4199, 268]","[993, 56]"
07:11,"[6162, 402]","[7542, 739]","[108, 22]","[1712, 250]","[444, 66]"
07:21,"[2876, 399]","[5325, 717]","[541, 27]","[1654, 227]","[316, 62]"
07:31,"[4344, 373]","[3607, 653]","[341, 28]","[1023, 229]","[303, 70]"
07:41,"[3119, 414]","[3190, 655]","[228, 18]","[1595, 237]","[378, 66]"
07:51,"[2417, 363]","[2845, 600]","[132, 29]","[1251, 201]","[289, 48]"
08:01,"[4778, 377]","[4576, 603]","[96, 28]","[1387, 215]","[384, 46]"
08:11,"[2464, 330]","[4637, 620]","[114, 28]","[2488, 214]","[733, 66]"
08:21,"[2831, 321]","[4628, 570]","[149, 20]","[1043, 193]","[604, 68]"
08:31,"[2184, 360]","[3155, 592]","[809, 30]","[1388, 181]","[255, 55]"
08:41,"[1719, 310]","[4893, 585]","[112, 20]","[1237, 203]","[563, 54]"
08:51,"[3133, 342]","[3570, 565]","[20, 17]","[1677, 180]","[113, 40]"
09:01,"[2674, 327]","[4943, 576]","[81, 21]","[2233, 227]","[216, 49]"
09:11,"[1927, 285]","[3558, 559]","[61, 24]","[1896, 195]","[529, 56]"
09:21,"[3047, 293]","[4561, 539]","[825, 23]","[1336, 205]","[1391, 44]"
09:31,"[2115, 300]","[2632, 508]","[305, 27]","[1780, 220]","[143, 42]"
09:41,"[1510, 284]","[2441, 448]","[127, 21]","[2986, 157]","[272, 36]"
09:51,"[1604, 236]","[3417, 527]","[73, 20]","[970, 175]","[144, 39]"
10:01,"[1187, 267]","[2809, 466]","[197, 13]","[1937, 177]","[165, 56]"
10:11,"[2743, 269]","[3171, 495]","[196, 17]","[1750, 165]","[253, 35]"
10:21,"[1318, 245]","[3701, 523]","[106, 25]","[794, 146]","[277, 38]"
10:31,"[2600, 245]","[2869, 478]","[86, 20]","[1194, 155]","[446, 32]"
10:41,"[1519, 226]","[2624, 473]","[147, 29]","[947, 159]","[272, 30]"
10:51,"[1626, 275]","[5457, 491]","[123, 12]","[1801, 155]","[314, 37]"
11:01,"[1865, 225]","[2931, 437]","[757, 24]","[3646, 147]","[335, 40]"
11:11,"[3495, 268]","[3991, 459]","[392, 20]","[1721, 164]","[540, 38]"
11:21,"[1605, 215]","[2799, 468]","[8, 7]","[1585, 161]","[155, 28]"
11:31,"[2267, 235]","[4210, 450]","[33, 12]","[2456, 130]","[343, 31]"
11:41,"[1614, 228]","[3383, 452]","[97, 15]","[2255, 151]","[241, 37]"
11:51,"[2772, 223]","[3287, 426]","[77, 17]","[939, 129]","[207, 25]"
12:01,"[1495, 240]","[4118, 417]","[71, 20]","[1411, 145]","[911, 38]"
12:11,"[2018, 192]","[3281, 425]","[74, 13]","[692, 130]","[66, 33]"
12:21,"[2518, 218]","[3149, 374]","[43, 13]","[906, 148]","[1137, 42]"
12:31,"[1501, 199]","[1498, 375]","[84, 18]","[1273, 121]","[150, 27]"
12:41,"[1136, 207]","[5952, 384]","[12, 8]","[1746, 152]","[219, 35]"
12:51,"[1927, 206]","[3694, 359]","[50, 19]","[782, 127]","[307, 34]"
13:01,"[2594, 204]","[3060, 439]","[28, 9]","[659, 125]","[566, 40]"
13:11,"[1803, 180]","[3371, 392]","[141, 20]","[1101, 136]","[162, 32]"
13:21,"[2521, 208]","[3066, 367]","[1, 12]","[3598, 139]","[159, 31]"
13:31,"[1215, 197]","[2579, 363]","[144, 11]","[1249, 115]","[118, 31]"
13:41,"[3568, 206]","[1558, 356]","[38, 8]","[1049, 128]","[499, 32]"
13:51,"[2255, 207]","[5430, 377]","[31, 9]","[1460, 127]","[141, 39]"
14:01,"[1860, 171]","[2098, 347]","[99, 18]","[1003, 119]","[12, 26]"
14:11,"[2128, 188]","[2557, 339]","[180, 16]","[1166, 120]","[110, 35]"
14:21,"[980, 202]","[4163, 376]","[65, 13]","[905, 133]","[146, 18]"
14:31,"[2792, 202]","[4086, 398]","[71, 12]","[2459, 127]","[78, 27]"
14:41,"[1437, 192]","[3224, 362]","[1, 11]","[569, 131]","[178, 33]"
14:51,"[1180, 190]","[2746, 392]","[533, 16]","[1286, 115]","[43, 23]"
15:01,"[2298, 201]","[3156, 344]","[19, 11]","[437, 108]","[152, 33]"
15:11,"[568, 176]","[2477, 330]","[79, 11]","[301, 133]","[219, 35]"
15:21,"[3022, 185]","[2230, 326]","[5, 10]","[832, 125]","[227, 27]"
15:31,"[1517, 200]","[2608, 350]","[60, 11]","[921, 104]","[401, 27]"
15:41,"[1728, 198]","[3269, 346]","[59, 15]","[1626, 141]","[285, 31]"
15:51,"[1294, 202]","[2280, 340]","[554, 16]","[2102, 140]","[505, 22]"
16:01,"[1568, 165]","[1977, 369]","[-20, 7]","[676, 126]","[158, 30]"
16:11,"[1939, 190]","[2133, 375]","[-26, 10]","[1131, 107]","[113, 28]"
16:21,"[1793, 170]","[2848, 385]","[25, 6]","[2337, 127]","[141, 27]"
16:31,"[1160, 185]","[2678, 357]","[32, 8]","[554, 115]","[108, 29]"
16:41,"[1799, 191]","[2190, 354]","[67, 15]","[2052, 121]","[87, 32]"
16:51,"[1340, 188]","[2081, 378]","[76, 9]","[1228, 113]","[113, 26]"
17:01,"[2211, 189]","[2685, 363]","[30, 12]","[1008, 122]","[176, 26]"
17:11,"[2276, 189]","[2316, 370]","[34, 16]","[926, 113]","[175, 32]"
17:21,"[1626, 198]","[3214, 367]","[42, 9]","[706, 119]","[280, 40]"
17:31,"[1494, 187]","[3653, 385]","[17, 7]","[641, 129]","[45, 22]"
17:41,"[2412, 187]","[2691, 398]","[177, 11]","[524, 121]","[1355, 32]"
17:51,"[1458, 200]","[2433, 356]","[40, 9]","[1307, 151]","[304, 37]"
18:01,"[1994, 205]","[4289, 351]","[174, 9]","[1090, 121]","[45, 23]"
18:11,"[2407, 193]","[2544, 343]","[266, 15]","[1088, 100]","[81, 33]"
18:21,"[1891, 202]","[2454, 372]","[22, 11]","[955, 115]","[417, 31]"
18:31,"[4816, 200]","[3190, 381]","[19, 14]","[1455, 117]","[491, 40]"
18:41,"[1490, 184]","[1858, 313]","[101, 16]","[1028, 129]","[325, 30]"
18:51,"[2662, 199]","[2418, 360]","[85, 18]","[670, 133]","[67, 34]"
