Time,anger,happy,hate,neutral,sad
00:00,47,441,116,1416,744
00:20,55,457,125,1369,752
00:40,50,492,117,1474,864
01:00,39,503,113,1504,809
01:20,59,471,123,1498,818
01:40,48,465,124,1535,803
02:00,47,545,154,1642,831
02:20,63,599,125,1735,889
02:40,52,589,131,1798,872
03:00,51,582,147,1727,925
03:20,45,546,134,1664,908
03:40,48,540,138,1581,847
04:00,49,529,132,1524,851
04:20,46,459,143,1471,820
04:40,48,455,129,1519,781
05:00,46,522,106,1374,766
05:20,40,456,127,1410,727
05:40,56,444,108,1326,729
06:00,41,484,113,1357,726
06:20,48,434,105,1359,725
06:40,37,440,102,1244,634
07:00,39,406,100,1250,645
07:20,35,432,109,1203,620
07:40,38,385,92,1143,606
08:00,34,343,102,1081,542
08:20,38,322,85,932,551
08:40,29,361,76,1005,512
09:00,32,332,87,1035,501
09:20,24,324,81,971,516
09:40,31,320,79,848,507
10:00,29,359,77,911,477
10:20,30,296,65,847,479
10:40,20,316,73,845,438
11:00,25,285,74,833,462
11:20,28,294,59,808,470
11:40,33,265,64,789,408
12:00,22,261,44,745,374
12:20,24,264,66,703,388
12:40,23,243,67,669,355
13:00,19,252,57,710,360
13:20,25,221,57,678,345
13:40,22,259,53,661,341
14:00,14,226,64,694,389
14:20,14,244,45,667,363
14:40,25,232,43,632,322
15:00,18,208,55,646,321
15:20,17,209,49,588,319
15:40,20,224,49,650,320
16:00,20,213,57,680,341
16:20,24,214,48,654,322
16:40,16,230,50,638,337
17:00,17,200,57,628,335
17:20,25,239,52,670,349
17:40,23,251,56,667,338
18:00,12,209,56,627,319
18:20,22,205,61,624,376
18:40,26,225,43,683,328
19:00,13,248,59,654,361
19:20,23,258,55,719,369
19:40,18,235,67,737,393
20:00,24,247,63,797,413
20:20,23,283,60,870,452
20:40,26,326,76,889,481
21:00,39,324,82,991,470
21:20,39,366,90,1072,537
21:40,40,364,87,1040,546
22:00,38,430,103,1106,612
22:20,42,418,103,1165,653
22:40,33,416,87,1307,718
23:00,53,464,93,1298,690
23:20,37,429,109,1279,775
23:40,40,438,124,1351,755
