,sad,neutral,anger,happy,hate
00:01,"[4280, 389]","[6875, 717]","[164, 22]","[1838, 261]","[297, 64]"
00:11,"[5719, 402]","[8634, 773]","[420, 32]","[4058, 273]","[1173, 66]"
00:21,"[3512, 408]","[4342, 699]","[475, 34]","[2767, 275]","[380, 66]"
00:31,"[2994, 425]","[6732, 771]","[94, 21]","[2425, 248]","[404, 62]"
00:41,"[4748, 383]","[8157, 775]","[703, 25]","[2956, 250]","[680, 80]"
00:51,"[3399, 413]","[8053, 701]","[462, 41]","[2172, 277]","[708, 68]"
01:01,"[5841, 394]","[20853, 758]","[1512, 25]","[12226, 274]","[1121, 46]"
01:11,"[7662, 437]","[13597, 820]","[283, 23]","[9074, 303]","[3525, 87]"
01:21,"[7427, 529]","[10307, 865]","[1848, 26]","[6698, 291]","[180, 61]"
01:31,"[6742, 444]","[8000, 862]","[100, 30]","[2921, 260]","[1781, 83]"
01:41,"[4961, 428]","[8105, 795]","[730, 26]","[2706, 281]","[1882, 77]"
01:51,"[4998, 476]","[5539, 843]","[210, 37]","[3063, 299]","[1001, 72]"
02:01,"[3812, 439]","[6736, 782]","[34, 21]","[2185, 269]","[1776, 57]"
02:11,"[4815, 441]","[4891, 807]","[662, 25]","[2861, 262]","[928, 67]"
02:21,"[3780, 388]","[6831, 729]","[199, 37]","[2087, 253]","[366, 72]"
02:31,"[6894, 396]","[5302, 755]","[92, 18]","[8304, 263]","[756, 79]"
02:41,"[5716, 409]","[7939, 726]","[457, 30]","[2286, 286]","[339, 71]"
02:51,"[5038, 439]","[7367, 767]","[426, 27]","[2857, 256]","[967, 77]"
03:01,"[6517, 420]","[7381, 733]","[3194, 28]","[3371, 243]","[808, 67]"
03:11,"[4354, 415]","[8649, 733]","[96, 36]","[3175, 280]","[1278, 79]"
03:21,"[3357, 433]","[6819, 777]","[398, 34]","[2556, 283]","[343, 58]"
03:31,"[4106, 392]","[5942, 735]","[67, 26]","[2655, 276]","[209, 58]"
03:41,"[3785, 388]","[5079, 708]","[407, 17]","[2031, 261]","[686, 66]"
03:51,"[3200, 373]","[7395, 728]","[64, 19]","[3665, 257]","[539, 76]"
04:01,"[2424, 390]","[5449, 712]","[103, 26]","[3938, 248]","[425, 80]"
04:11,"[3993, 375]","[5781, 794]","[921, 24]","[4185, 295]","[554, 73]"
04:21,"[4187, 394]","[6938, 768]","[34, 14]","[1239, 238]","[1202, 54]"
04:31,"[3794, 384]","[5321, 714]","[305, 21]","[1471, 267]","[497, 71]"
04:41,"[3423, 396]","[4295, 771]","[341, 26]","[3089, 279]","[465, 63]"
04:51,"[3375, 417]","[3800, 719]","[152, 31]","[2246, 272]","[374, 71]"
05:01,"[4245, 351]","[5089, 680]","[61, 28]","[2304, 249]","[671, 75]"
05:11,"[3706, 389]","[4791, 691]","[46, 23]","[1837, 238]","[551, 61]"
05:21,"[2672, 388]","[7569, 674]","[30, 17]","[3217, 259]","[770, 66]"
05:31,"[3018, 389]","[3866, 672]","[81, 23]","[2254, 254]","[272, 59]"
05:41,"[3359, 356]","[5370, 693]","[258, 30]","[1820, 249]","[294, 55]"
05:51,"[2018, 336]","[7587, 620]","[36, 24]","[1814, 264]","[181, 53]"
06:01,"[2460, 343]","[5831, 688]","[71, 21]","[3644, 241]","[89, 46]"
06:11,"[2227, 337]","[6285, 696]","[51, 13]","[2381, 275]","[391, 52]"
06:21,"[4305, 299]","[4537, 598]","[377, 23]","[3296, 226]","[648, 66]"
06:31,"[2962, 308]","[4030, 593]","[656, 19]","[1834, 196]","[281, 51]"
06:41,"[2278, 301]","[5752, 610]","[86, 23]","[3399, 214]","[993, 44]"
06:51,"[3350, 298]","[4869, 594]","[381, 20]","[4249, 207]","[912, 62]"
07:01,"[10529, 290]","[5151, 565]","[512, 23]","[2470, 215]","[634, 58]"
07:11,"[2739, 299]","[7668, 583]","[1065, 19]","[3001, 210]","[246, 56]"
07:21,"[5876, 271]","[6039, 531]","[266, 21]","[2081, 199]","[2038, 33]"
07:31,"[3227, 343]","[5251, 580]","[60, 19]","[2909, 222]","[142, 41]"
07:41,"[1755, 258]","[4525, 539]","[63, 18]","[1167, 174]","[493, 50]"
07:51,"[2944, 286]","[3337, 523]","[132, 22]","[3298, 198]","[110, 48]"
08:01,"[3464, 259]","[4022, 498]","[198, 15]","[1373, 176]","[432, 40]"
08:11,"[1654, 251]","[5543, 554]","[3, 10]","[2061, 185]","[356, 43]"
08:21,"[2172, 254]","[2641, 461]","[-3, 15]","[1624, 165]","[186, 53]"
08:31,"[3396, 252]","[3907, 440]","[27, 12]","[1539, 185]","[259, 37]"
08:41,"[3184, 237]","[3181, 440]","[31, 15]","[1661, 163]","[627, 47]"
08:51,"[5950, 250]","[8264, 508]","[396, 13]","[2135, 175]","[906, 46]"
09:01,"[2448, 239]","[3105, 461]","[20, 7]","[3079, 183]","[285, 46]"
09:11,"[2453, 266]","[3593, 465]","[50, 13]","[3765, 129]","[621, 50]"
09:21,"[2330, 253]","[1990, 396]","[53, 15]","[5622, 182]","[409, 43]"
09:31,"[1189, 222]","[2779, 422]","[54, 14]","[1673, 150]","[186, 36]"
09:41,"[1306, 234]","[4602, 442]","[-53, 12]","[1310, 183]","[210, 37]"
09:51,"[3185, 247]","[3327, 403]","[52, 12]","[2128, 191]","[220, 48]"
