Time,anger,happy,hate,neutral,sad
00:00,54,534,130,1490,791
00:20,55,523,128,1470,833
00:40,66,527,148,1476,796
01:00,48,577,133,1578,831
01:20,56,551,144,1727,973
01:40,63,580,149,1638,904
02:00,46,531,124,1589,880
02:20,55,516,151,1484,784
02:40,57,542,148,1493,848
03:00,64,523,146,1466,835
03:20,60,559,116,1512,825
03:40,36,518,142,1436,761
04:00,50,543,153,1506,765
04:20,35,505,125,1482,778
04:40,57,551,134,1490,813
05:00,51,487,136,1371,740
05:20,40,513,125,1346,777
05:40,54,513,108,1313,692
06:00,34,516,98,1384,680
06:20,42,422,117,1191,607
06:40,43,421,106,1204,599
07:00,42,425,114,1148,589
07:20,40,421,74,1111,614
07:40,40,372,98,1062,544
08:00,25,361,83,1052,510
08:20,27,350,90,901,506
08:40,28,338,93,948,487
09:00,20,312,96,926,505
09:20,29,332,79,818,475
09:40,24,374,85,845,481
10:00,26,299,85,813,449
10:20,29,327,72,820,473
10:40,31,336,78,860,423
11:00,22,280,66,808,425
11:20,31,264,63,782,406
11:40,24,283,76,733,343
12:00,29,262,78,775,412
12:20,21,237,88,736,408
12:40,20,274,65,752,418
13:00,23,244,66,705,362
13:20,24,242,55,706,376
13:40,29,266,60,617,350
14:00,21,246,56,676,365
14:20,28,252,65,715,347
14:40,16,214,60,668,357
15:00,21,242,66,761,355
15:20,23,226,49,715,341
15:40,16,235,67,659,383
16:00,24,247,60,744,402
16:20,20,256,62,700,376
16:40,32,263,60,655,377
17:00,30,247,65,714,355
17:20,22,259,60,717,379
17:40,28,218,65,702,392
18:00,33,245,84,714,391
18:20,27,255,61,772,378
18:40,22,259,69,846,473
19:00,22,275,85,783,445
19:20,31,360,94,870,475
19:40,30,320,96,997,482
20:00,26,374,95,1013,549
20:20,29,390,87,940,519
20:40,36,388,123,1128,584
21:00,32,391,102,1125,621
21:20,35,408,103,1226,568
21:40,45,424,113,1190,674
22:00,54,458,104,1266,672
22:20,35,477,113,1388,749
22:40,50,498,126,1392,703
23:00,42,457,97,1393,717
23:20,41,467,136,1437,765
23:40,47,487,118,1480,771
