Time,anger,happy,hate,neutral,sad
00:00,54,624,164,1970,939
00:20,82,626,160,2016,990
00:40,72,614,179,1913,942
01:00,55,800,170,2284,1098
01:20,63,870,174,2463,1089
01:40,81,859,192,2726,1186
02:00,77,820,203,2495,1183
02:20,62,711,174,2198,1019
02:40,82,725,193,2200,1004
03:00,69,822,165,2421,1163
03:20,73,753,168,2251,1089
03:40,66,674,147,2101,983
04:00,48,673,150,2008,934
04:20,54,649,160,1950,945
04:40,60,654,151,1992,956
05:00,43,595,128,1680,816
05:20,47,600,130,1705,843
05:40,46,561,126,1661,773
06:00,37,528,124,1633,768
06:20,39,526,95,1508,644
06:40,45,490,105,1504,742
07:00,48,466,120,1435,656
07:20,32,468,100,1393,688
07:40,31,419,92,1240,584
08:00,27,359,102,1100,510
08:20,44,401,109,1101,521
08:40,33,367,86,1068,495
09:00,38,366,81,1028,507
09:20,22,340,96,1050,517
09:40,32,352,91,1106,485
10:00,27,338,68,988,506
10:20,28,338,65,968,421
10:40,23,272,84,979,408
11:00,31,459,91,1352,614
11:20,40,390,76,1159,533
11:40,33,346,98,1038,472
12:00,30,340,101,1000,441
12:20,27,274,77,865,453
12:40,28,308,58,843,413
13:00,29,280,60,831,366
13:20,27,285,65,840,391
13:40,29,247,64,771,377
14:00,32,408,82,1199,508
14:20,27,347,64,1011,484
14:40,24,319,83,998,437
15:00,28,304,66,931,448
15:20,26,331,57,934,435
15:40,31,290,91,955,483
16:00,32,256,80,919,419
16:20,16,319,66,866,465
16:40,24,288,69,801,446
17:00,23,337,95,944,475
17:20,26,296,85,968,452
17:40,30,305,74,887,455
18:00,32,306,77,915,456
18:20,26,325,91,997,481
18:40,30,327,77,966,507
19:00,25,295,74,921,446
19:20,29,383,78,1044,536
19:40,36,413,89,1115,586
20:00,31,468,83,1401,674
20:20,49,474,122,1406,696
20:40,37,473,125,1392,662
21:00,42,512,149,1453,674
21:20,38,542,120,1546,765
21:40,52,526,147,1572,785
22:00,68,686,145,1994,925
22:20,66,693,182,1859,975
22:40,62,639,168,2043,983
23:00,56,677,180,2057,935
23:20,66,635,157,1925,997
23:40,59,624,153,1994,908
