Time,anger,happy,hate,neutral,sad
00:00,49,440,98,1320,634
00:20,44,454,97,1264,682
00:40,29,457,100,1264,656
01:00,32,456,106,1219,729
01:20,38,466,81,1230,633
01:40,49,449,105,1240,651
02:00,41,428,100,1229,642
02:20,37,486,102,1242,673
02:40,39,460,114,1195,622
03:00,34,406,105,1171,643
03:20,37,462,100,1257,686
03:40,40,472,102,1259,679
04:00,28,418,87,1253,647
04:20,48,443,78,1207,658
04:40,39,456,108,1225,636
05:00,31,433,99,1165,640
05:20,39,484,88,1161,634
05:40,36,434,83,1251,596
06:00,33,398,89,1184,577
06:20,33,413,95,1152,570
06:40,31,394,114,1193,583
07:00,33,366,79,1005,522
07:20,21,339,82,998,567
07:40,33,346,82,947,506
08:00,30,383,89,972,469
08:20,23,357,97,953,507
08:40,31,361,122,922,440
09:00,27,334,73,913,434
09:20,34,328,80,830,447
09:40,27,329,71,820,449
10:00,28,272,64,787,378
10:20,33,275,51,832,443
10:40,23,317,64,764,373
11:00,23,270,75,783,402
11:20,22,279,60,728,416
11:40,23,297,57,738,436
12:00,26,277,58,719,378
12:20,23,268,56,662,357
12:40,22,205,51,664,343
13:00,20,218,47,620,302
13:20,14,231,47,594,307
13:40,19,221,45,644,287
14:00,22,200,53,531,307
14:20,18,188,36,597,290
14:40,12,189,45,612,306
15:00,21,241,49,613,345
15:20,18,282,46,678,366
15:40,24,254,63,651,360
16:00,17,250,54,610,322
16:20,16,230,54,620,368
16:40,20,217,66,710,333
17:00,22,212,48,655,326
17:20,20,228,44,662,369
17:40,14,198,59,564,298
18:00,19,189,48,649,316
18:20,22,217,53,671,367
18:40,29,230,53,657,336
19:00,15,235,60,676,359
19:20,23,243,56,682,338
19:40,24,247,51,645,393
20:00,20,261,50,706,380
20:20,28,283,65,765,413
20:40,29,276,60,809,448
21:00,28,289,66,866,478
21:20,39,331,76,960,545
21:40,32,348,68,937,519
22:00,30,363,99,1101,515
22:20,38,439,89,1161,632
22:40,30,439,75,1196,623
23:00,34,452,85,1147,604
23:20,30,404,100,1313,608
23:40,32,450,118,1278,632
