,sad,neutral,anger,happy,hate
00:01,"[9447, 760]","[18238, 1469]","[154, 40]","[8144, 445]","[1899, 139]"
00:11,"[4917, 749]","[18532, 1447]","[358, 36]","[5566, 497]","[994, 111]"
00:21,"[6511, 685]","[11205, 1434]","[226, 42]","[6282, 466]","[397, 94]"
00:31,"[6525, 769]","[10095, 1487]","[326, 31]","[5668, 548]","[548, 113]"
00:41,"[9120, 741]","[11058, 1466]","[97, 24]","[6300, 505]","[555, 103]"
00:51,"[6623, 776]","[14710, 1581]","[187, 42]","[3642, 538]","[1977, 120]"
01:01,"[23094, 788]","[27641, 1617]","[1196, 41]","[14217, 625]","[7809, 125]"
01:11,"[16757, 902]","[31619, 1602]","[171, 37]","[10921, 579]","[2188, 124]"
01:21,"[11629, 879]","[13989, 1490]","[4810, 49]","[12399, 579]","[897, 126]"
01:31,"[8815, 847]","[14915, 1560]","[442, 39]","[17188, 649]","[865, 111]"
01:41,"[12278, 803]","[17101, 1512]","[420, 42]","[5834, 557]","[876, 128]"
01:51,"[7232, 822]","[11881, 1541]","[567, 48]","[8486, 589]","[2213, 118]"
02:01,"[9824, 942]","[14317, 1758]","[249, 47]","[5102, 602]","[1420, 123]"
02:11,"[8557, 910]","[16886, 1690]","[303, 50]","[5429, 642]","[2589, 129]"
02:21,"[7621, 834]","[10649, 1443]","[353, 40]","[11557, 583]","[2465, 119]"
02:31,"[6916, 776]","[16562, 1466]","[379, 42]","[3703, 506]","[2582, 98]"
02:41,"[7343, 704]","[14313, 1333]","[316, 46]","[8308, 513]","[1193, 105]"
02:51,"[10513, 745]","[11646, 1348]","[1567, 49]","[5083, 499]","[1850, 112]"
03:01,"[13196, 750]","[18204, 1493]","[806, 43]","[12527, 602]","[820, 91]"
03:11,"[6731, 675]","[10796, 1489]","[540, 31]","[8897, 569]","[1032, 109]"
03:21,"[10152, 732]","[11401, 1448]","[574, 48]","[5965, 528]","[681, 103]"
03:31,"[8969, 745]","[12255, 1307]","[216, 34]","[5736, 506]","[2915, 95]"
03:41,"[5844, 782]","[12659, 1448]","[758, 43]","[6662, 541]","[337, 107]"
03:51,"[8360, 786]","[14643, 1474]","[131, 36]","[7458, 537]","[515, 108]"
04:01,"[5740, 719]","[15874, 1407]","[584, 48]","[5708, 486]","[1105, 110]"
04:11,"[7036, 729]","[13251, 1385]","[301, 44]","[10981, 481]","[1498, 99]"
04:21,"[5691, 767]","[14894, 1379]","[551, 44]","[6169, 523]","[1564, 115]"
04:31,"[8932, 654]","[10058, 1343]","[454, 37]","[6373, 470]","[900, 92]"
04:41,"[5090, 706]","[11579, 1290]","[105, 31]","[4942, 467]","[918, 86]"
04:51,"[7068, 604]","[10372, 1309]","[416, 33]","[4418, 468]","[903, 106]"
05:01,"[8242, 682]","[12248, 1312]","[20, 37]","[3356, 453]","[579, 90]"
05:11,"[11211, 660]","[10062, 1238]","[457, 30]","[3958, 431]","[1566, 88]"
05:21,"[4046, 638]","[11213, 1157]","[71, 27]","[3853, 411]","[815, 101]"
05:31,"[3596, 585]","[10720, 1201]","[663, 39]","[2609, 388]","[635, 97]"
05:41,"[6159, 568]","[11606, 1163]","[347, 27]","[5300, 455]","[989, 79]"
05:51,"[9315, 596]","[9572, 1162]","[1101, 38]","[3637, 438]","[38, 72]"
06:01,"[6481, 585]","[11008, 1153]","[1072, 45]","[2899, 413]","[537, 76]"
06:11,"[6010, 557]","[8493, 1104]","[122, 32]","[2630, 420]","[398, 89]"
06:21,"[6418, 589]","[8988, 1113]","[126, 26]","[2999, 380]","[1249, 90]"
06:31,"[5446, 585]","[10366, 1074]","[617, 32]","[3648, 381]","[219, 77]"
06:41,"[8415, 562]","[7914, 1019]","[144, 32]","[3186, 386]","[830, 77]"
06:51,"[7420, 545]","[8254, 1058]","[994, 25]","[4524, 396]","[298, 78]"
07:01,"[5426, 539]","[8248, 1032]","[140, 29]","[3034, 394]","[1795, 84]"
07:11,"[5679, 506]","[6840, 988]","[516, 35]","[4433, 364]","[955, 93]"
07:21,"[4078, 504]","[7770, 974]","[2227, 32]","[2328, 347]","[432, 73]"
07:31,"[3167, 459]","[6720, 957]","[286, 22]","[3037, 345]","[445, 82]"
07:41,"[4228, 472]","[5317, 858]","[109, 25]","[3033, 354]","[402, 78]"
07:51,"[5659, 492]","[8357, 962]","[212, 27]","[2507, 321]","[406, 77]"
08:01,"[3085, 460]","[7186, 938]","[420, 38]","[3476, 377]","[364, 73]"
08:11,"[5684, 450]","[10645, 870]","[362, 34]","[3607, 386]","[909, 86]"
08:21,"[3091, 509]","[5786, 935]","[269, 40]","[3062, 357]","[424, 81]"
08:31,"[4553, 483]","[7479, 903]","[245, 35]","[2435, 306]","[429, 83]"
08:41,"[5139, 448]","[11278, 936]","[721, 27]","[2289, 329]","[586, 67]"
08:51,"[5247, 451]","[7431, 880]","[177, 31]","[4528, 340]","[297, 73]"
09:01,"[2774, 445]","[10236, 836]","[1576, 28]","[3731, 322]","[5010, 79]"
09:11,"[4921, 442]","[7423, 847]","[128, 21]","[5805, 303]","[356, 58]"
