Time,anger,happy,hate,neutral,sad
00:00,34,413,101,1063,682
00:20,36,375,98,1109,654
00:40,29,392,122,1143,682
01:00,29,388,114,1199,719
01:20,32,401,127,1079,632
01:40,41,384,105,1107,662
02:00,53,384,85,1073,641
02:20,29,324,96,1048,610
02:40,29,361,102,1058,553
03:00,32,348,102,965,576
03:20,27,366,99,1084,585
03:40,26,353,115,968,598
04:00,36,335,89,946,602
04:20,37,343,106,973,540
04:40,37,339,74,987,568
05:00,31,325,90,1017,512
05:20,20,317,84,859,492
05:40,34,311,103,878,524
06:00,45,314,101,852,521
06:20,37,302,76,857,498
06:40,28,293,72,845,505
07:00,18,277,73,776,420
07:20,17,270,66,721,387
07:40,27,263,68,708,437
08:00,31,226,78,645,377
08:20,33,259,45,662,380
08:40,27,240,63,667,389
09:00,16,239,46,680,346
09:20,15,239,65,569,368
09:40,17,219,68,616,334
10:00,35,189,76,587,328
10:20,18,194,58,566,337
10:40,14,218,69,546,322
11:00,15,193,38,485,289
11:20,23,195,56,474,340
11:40,15,221,36,520,322
12:00,19,174,37,461,261
12:20,13,175,52,474,270
12:40,11,141,43,424,266
13:00,13,163,49,474,285
13:20,19,171,37,463,234
13:40,17,166,50,429,243
14:00,15,153,51,430,264
14:20,6,192,41,430,254
14:40,10,160,47,478,232
15:00,10,157,32,443,257
15:20,14,174,45,477,255
15:40,15,163,40,518,270
16:00,20,162,25,490,256
16:20,10,137,39,455,258
16:40,14,168,35,407,252
17:00,10,161,60,456,233
17:20,21,179,50,477,247
17:40,19,162,39,476,265
18:00,12,158,38,517,252
18:20,11,170,43,530,277
18:40,15,190,54,518,262
19:00,16,194,58,569,270
19:20,14,215,65,580,315
19:40,15,206,63,602,327
20:00,15,235,46,591,326
20:20,14,232,60,650,409
20:40,28,232,74,693,443
21:00,22,265,71,749,420
21:20,21,267,82,840,434
21:40,34,264,68,865,485
22:00,23,309,87,901,500
22:20,25,336,78,912,480
22:40,23,316,87,921,480
23:00,36,317,74,911,502
23:20,35,335,89,948,506
23:40,41,321,91,915,572
