Time,anger,happy,hate,neutral,sad
00:00,26,310,70,912,488
00:20,30,375,88,929,462
00:40,38,338,66,1075,561
01:00,35,323,85,964,527
01:20,31,353,106,1025,526
01:40,37,342,75,963,479
02:00,22,287,88,894,453
02:20,39,287,71,854,450
02:40,30,315,78,935,465
03:00,30,351,78,959,490
03:20,36,308,77,882,485
03:40,30,337,77,898,494
04:00,43,316,75,934,518
04:20,39,327,80,924,493
04:40,29,322,107,968,545
05:00,26,280,58,823,486
05:20,36,307,77,856,439
05:40,22,275,53,795,463
06:00,31,280,62,811,436
06:20,20,259,80,801,384
06:40,24,282,75,760,391
07:00,23,234,66,669,412
07:20,19,246,44,668,392
07:40,28,224,74,684,369
08:00,19,263,57,639,339
08:20,18,219,35,563,320
08:40,26,219,58,601,272
09:00,13,229,54,589,285
09:20,13,193,54,559,275
09:40,22,203,55,581,290
10:00,20,199,48,551,296
10:20,17,199,53,481,255
10:40,14,190,56,481,251
11:00,15,184,51,465,254
11:20,20,159,44,471,246
11:40,11,167,42,463,234
12:00,22,160,35,432,244
12:20,18,172,40,476,210
12:40,10,175,26,440,233
13:00,8,136,34,419,203
13:20,13,160,35,419,224
13:40,10,135,41,430,255
14:00,8,148,36,388,241
14:20,7,148,34,368,212
14:40,17,151,40,452,230
15:00,10,156,40,439,229
15:20,22,160,46,437,209
15:40,13,163,39,433,234
16:00,17,164,31,437,195
16:20,18,155,36,427,230
16:40,14,156,38,412,208
17:00,14,133,41,427,262
17:20,21,160,37,407,249
17:40,18,161,44,471,230
18:00,17,164,35,481,232
18:20,8,172,42,475,216
18:40,17,203,35,511,233
19:00,13,204,50,505,260
19:20,18,223,57,572,274
19:40,22,213,59,665,330
20:00,25,238,57,624,343
20:20,17,190,52,670,335
20:40,15,212,55,730,319
21:00,21,245,51,773,388
21:20,19,257,59,762,384
21:40,23,254,70,823,406
22:00,26,287,62,758,407
22:20,23,300,59,861,412
22:40,30,289,66,886,425
23:00,32,297,61,825,419
23:20,18,282,56,841,452
23:40,27,262,76,920,447
