Time,anger,happy,hate,neutral,sad
00:00,56,737,132,2039,981
00:20,46,709,149,1981,1008
00:40,50,668,150,1961,1031
01:00,73,805,161,2223,1089
01:20,68,771,173,2426,1046
01:40,65,840,178,2425,1170
02:00,76,831,188,2443,1262
02:20,78,911,175,2577,1228
02:40,81,916,180,2749,1354
03:00,82,836,195,2614,1275
03:20,68,878,168,2441,1175
03:40,57,783,187,2495,1153
04:00,68,791,175,2317,1128
04:20,55,711,172,2085,1107
04:40,67,717,167,2027,1018
05:00,66,728,143,2092,972
05:20,59,650,148,1987,968
05:40,57,664,152,1871,979
06:00,47,597,140,1764,912
06:20,46,564,122,1751,827
06:40,42,577,115,1607,787
07:00,52,504,116,1524,734
07:20,42,453,99,1487,765
07:40,39,474,112,1422,727
08:00,56,515,120,1550,783
08:20,56,512,101,1467,693
08:40,43,504,102,1376,687
09:00,39,460,108,1387,647
09:20,45,437,104,1234,581
09:40,38,436,85,1192,563
10:00,37,392,90,1086,517
10:20,32,406,92,1181,578
10:40,34,347,91,1093,519
11:00,44,401,100,1151,552
11:20,34,357,84,1039,519
11:40,38,354,77,975,468
12:00,17,329,76,946,470
12:20,30,324,81,910,449
12:40,18,308,72,876,447
13:00,20,282,50,822,421
13:20,22,321,73,880,401
13:40,30,286,59,794,391
14:00,33,327,61,962,463
14:20,28,342,79,896,466
14:40,21,345,74,955,406
15:00,27,297,59,883,415
15:20,37,309,65,886,435
15:40,28,298,71,866,403
16:00,26,292,57,906,420
16:20,19,320,62,887,390
16:40,31,313,61,856,454
17:00,26,282,74,926,434
17:20,24,286,69,919,403
17:40,26,314,61,889,413
18:00,24,300,77,942,477
18:20,30,325,75,965,498
18:40,25,332,60,1076,480
19:00,27,323,72,1039,506
19:20,29,356,85,1080,535
19:40,34,357,86,1123,498
20:00,26,403,111,1322,650
20:20,41,436,94,1316,656
20:40,71,444,110,1403,701
21:00,49,579,105,1532,789
21:20,42,585,129,1633,841
21:40,52,638,108,1764,886
22:00,56,672,136,2040,965
22:20,79,630,141,2025,975
22:40,49,641,113,2061,952
23:00,64,698,133,2087,977
23:20,62,687,128,1900,1006
23:40,53,668,129,2101,1016
