Time,anger,happy,hate,neutral,sad
00:00,95,555,229,2116,1125
00:20,75,552,225,2092,1147
00:40,76,569,230,2033,1072
01:00,69,537,225,2179,1096
01:20,82,551,236,2119,1081
01:40,77,576,253,2244,1144
02:00,71,574,245,2171,1189
02:20,98,564,233,2125,1175
02:40,98,529,265,2175,1190
03:00,82,559,230,2157,1143
03:20,86,617,216,2063,1182
03:40,70,509,217,1993,1049
04:00,80,508,227,1991,1075
04:20,80,509,237,1921,1080
04:40,75,552,229,2045,1143
05:00,86,622,303,2367,1198
05:20,83,675,280,2317,1279
05:40,87,517,244,1996,1065
06:00,80,510,230,1971,1073
06:20,93,552,220,1912,997
06:40,66,530,227,1785,1082
07:00,85,513,256,1951,1031
07:20,64,505,228,1784,1032
07:40,66,509,222,1799,949
08:00,66,482,236,1755,1016
08:20,79,480,209,1714,938
08:40,74,472,187,1630,887
09:00,61,432,213,1679,824
09:20,63,454,180,1612,902
09:40,52,447,166,1605,810
10:00,45,382,168,1566,793
10:20,66,384,178,1445,802
10:40,61,391,149,1467,680
11:00,49,347,160,1387,671
11:20,55,359,145,1357,651
11:40,41,369,149,1352,622
12:00,39,347,161,1256,678
12:20,45,306,124,1204,606
12:40,31,337,131,1237,651
13:00,47,335,113,1177,598
13:20,36,319,134,1167,614
13:40,45,346,118,1180,639
14:00,48,300,139,1225,604
14:20,43,300,121,1261,601
14:40,41,321,151,1285,615
15:00,47,326,146,1298,651
15:20,28,318,147,1322,745
15:40,42,384,136,1396,685
16:00,45,370,150,1422,731
16:20,47,349,160,1407,720
16:40,56,391,171,1509,759
17:00,44,331,168,1395,720
17:20,63,342,138,1374,724
17:40,56,349,156,1445,717
18:00,63,376,166,1402,778
18:20,77,366,155,1402,746
18:40,49,353,163,1414,705
19:00,62,328,168,1390,736
19:20,53,335,152,1401,704
19:40,52,351,164,1447,837
20:00,50,378,159,1381,780
20:20,54,387,192,1551,781
20:40,50,391,192,1656,902
21:00,62,438,204,1717,878
21:20,75,465,208,1704,985
21:40,60,459,230,1722,1016
22:00,67,505,231,1846,1034
22:20,77,477,234,1996,1025
22:40,81,497,199,1954,1046
23:00,75,524,212,1979,1069
23:20,81,525,228,1977,1052
23:40,74,526,241,2094,1135
