Time,anger,happy,hate,neutral,sad
00:00,53,545,198,1540,1065
00:20,43,558,233,1582,1085
00:40,44,649,250,1719,1149
01:00,37,544,202,1577,1114
01:20,38,554,234,1488,1058
01:40,43,505,236,1524,1101
02:00,46,470,196,1439,1014
02:20,51,431,213,1366,947
02:40,30,444,167,1314,981
03:00,43,450,202,1403,908
03:20,39,460,212,1410,983
03:40,31,461,234,1368,974
04:00,40,568,192,1537,1073
04:20,39,493,206,1385,1073
04:40,40,542,210,1406,1021
05:00,31,472,186,1453,951
05:20,36,411,189,1266,944
05:40,46,424,160,1241,955
06:00,31,421,160,1220,849
06:20,34,442,195,1236,886
06:40,37,450,223,1218,904
07:00,35,412,172,1152,864
07:20,42,382,173,1133,769
07:40,32,410,175,1112,789
08:00,20,380,164,1096,759
08:20,28,399,174,1127,776
08:40,33,375,189,1145,820
09:00,23,361,132,967,654
09:20,22,348,123,947,670
09:40,34,319,127,911,724
10:00,24,356,141,1017,689
10:20,29,404,157,1064,724
10:40,24,404,165,1154,763
11:00,21,378,146,997,746
11:20,26,318,129,962,705
11:40,31,370,172,950,713
12:00,33,428,128,1067,795
12:20,26,367,149,970,751
12:40,27,335,150,939,720
13:00,30,465,190,1192,954
13:20,31,508,185,1167,938
13:40,32,453,194,1182,822
14:00,29,546,204,1379,970
14:20,40,495,224,1203,949
14:40,35,491,180,1196,899
15:00,31,493,169,1255,835
15:20,27,439,158,1032,805
15:40,27,460,168,1138,828
16:00,33,471,243,1242,1003
16:20,32,434,200,1217,865
16:40,35,530,190,1403,1018
17:00,46,459,185,1377,995
17:20,39,412,176,1146,875
17:40,36,493,198,1369,887
18:00,39,560,200,1432,1037
18:20,47,557,217,1429,1006
18:40,42,587,212,1538,1125
19:00,46,509,186,1416,1054
19:20,52,575,229,1492,1087
19:40,47,515,222,1433,1047
20:00,47,589,235,1548,1193
20:20,43,681,275,1710,1191
20:40,34,651,283,1752,1203
21:00,41,512,244,1426,1056
21:20,37,536,225,1576,1102
21:40,52,541,217,1514,1094
22:00,52,509,246,1492,1036
22:20,41,521,243,1548,1077
22:40,40,557,217,1544,1106
23:00,44,518,193,1495,1078
23:20,50,556,243,1498,1118
23:40,59,527,247,1501,1174
