,anger,happy,hate,neutral,sad,total
10:51,6,90,23,212,140,471
08:11,6,126,28,329,165,654
03:41,20,179,32,457,245,933
11:31,12,74,23,219,128,456
08:31,10,108,17,278,142,555
10:01,10,109,28,269,172,588
14:41,7,87,20,239,116,469
19:21,6,103,26,267,115,517
04:01,20,163,37,449,266,935
22:11,10,151,37,352,209,759
03:31,13,165,44,464,255,941
22:41,18,131,41,475,225,890
10:31,9,104,25,233,134,505
16:31,12,69,25,200,115,421
17:21,11,76,19,206,126,438
00:01,13,166,37,458,245,919
17:51,10,69,21,231,129,460
23:31,9,137,24,436,232,838
22:31,10,160,34,472,237,913
00:11,13,144,33,454,243,887
12:21,10,87,21,241,103,462
08:41,12,110,26,281,133,562
16:21,6,86,11,227,115,445
05:01,18,137,32,413,249,849
08:51,14,109,32,320,139,614
14:51,10,64,20,213,114,421
19:31,12,120,31,305,159,627
03:51,10,158,45,441,249,903
01:41,16,171,37,494,222,940
18:01,11,96,17,236,112,472
07:51,15,112,45,341,181,694
21:31,10,136,24,400,198,768
23:01,16,162,31,424,203,836
19:41,9,100,34,335,168,646
16:41,5,68,17,194,100,384
00:41,13,166,36,534,299,1048
01:11,16,153,51,464,283,967
05:51,10,138,27,373,232,780
02:41,19,152,45,494,221,931
05:21,21,157,40,426,221,865
21:41,10,119,37,405,189,760
20:01,12,130,34,320,180,676
03:11,15,155,38,502,239,949
15:41,6,90,22,195,129,442
00:21,15,181,43,459,217,915
21:01,10,120,20,363,189,702
05:41,12,137,26,422,231,828
02:01,15,138,43,448,221,865
12:01,12,79,16,200,118,425
18:21,4,79,16,243,105,447
02:31,24,149,36,444,222,875
19:01,8,95,27,262,141,533
01:01,19,170,34,500,244,967
01:31,11,164,57,519,260,1011
19:11,5,109,23,243,119,499
16:11,3,79,17,224,87,410
20:51,8,97,31,381,140,657
22:21,13,140,25,389,175,742
23:41,16,140,43,429,223,851
06:11,19,141,34,409,206,809
20:11,13,108,23,304,163,611
06:21,9,139,40,419,190,797
03:21,23,143,33,418,230,847
04:31,16,164,38,435,232,885
04:41,15,168,48,523,267,1021
23:51,11,122,33,491,224,881
00:31,15,194,45,470,245,969
10:21,8,95,28,248,121,500
09:41,12,103,31,303,155,604
08:21,8,111,18,285,178,600
15:11,5,95,17,218,106,441
17:31,10,84,18,201,123,436
12:51,3,82,9,220,121,435
13:31,5,73,19,224,115,436
04:21,23,163,42,489,261,978
02:11,7,149,45,446,232,879
07:31,7,122,16,360,190,695
18:51,7,103,18,261,117,506
05:31,15,150,37,430,218,850
06:31,11,120,40,382,194,747
06:01,12,139,28,402,230,811
04:51,14,154,59,445,278,950
11:21,8,85,21,252,118,484
02:51,11,163,33,441,244,892
11:11,7,92,25,220,124,468
10:11,10,90,20,282,124,526
12:31,8,85,19,235,107,454
09:21,9,78,25,258,140,510
22:51,12,158,25,411,200,806
09:11,8,112,28,291,138,577
09:01,5,117,26,298,147,593
16:01,14,85,14,213,108,434
20:21,5,78,27,338,172,620
08:01,13,137,29,310,174,663
12:11,10,81,19,232,126,468
10:41,8,100,33,269,111,521
22:01,16,136,25,406,198,781
13:51,5,67,20,212,118,422
11:41,6,95,19,244,133,497
20:31,12,112,25,332,163,644
15:01,5,61,23,221,123,433
17:41,8,92,23,240,101,464
15:31,9,89,30,222,108,458
18:31,4,93,26,232,111,466
23:11,16,135,30,401,216,798
13:01,5,65,15,228,97,410
12:41,7,93,17,220,112,449
13:21,8,87,16,195,109,415
05:11,8,143,26,410,237,824
17:01,6,69,22,211,145,453
01:51,21,171,38,469,257,956
19:51,13,113,25,330,162,643
07:01,14,128,29,327,207,705
14:11,7,74,25,186,136,428
16:51,9,88,21,218,108,444
07:41,13,112,29,343,188,685
02:21,15,138,35,410,228,826
07:11,9,106,37,342,205,699
21:51,13,135,33,418,217,816
20:41,7,115,24,349,179,674
23:21,9,145,32,405,220,811
07:21,12,124,28,308,202,674
21:11,11,125,31,410,199,776
21:21,9,121,35,362,186,713
06:51,14,149,43,375,197,778
13:11,3,71,19,191,106,390
14:31,6,79,18,186,113,402
01:21,20,189,49,506,266,1030
15:21,13,71,16,215,101,416
09:51,10,100,24,278,135,547
09:31,4,115,29,301,135,584
17:11,8,64,19,216,117,424
04:11,23,153,38,485,252,951
11:51,5,72,23,219,101,420
03:01,15,196,40,457,251,959
00:51,25,172,30,541,262,1030
14:21,1,69,16,182,99,367
18:41,10,100,17,250,116,493
11:01,8,92,26,245,130,501
15:51,7,73,17,238,105,440
13:41,5,68,21,218,137,449
18:11,6,68,18,245,120,457
14:01,1,74,11,202,105,393
06:41,10,133,32,385,194,754
